abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classification,defense,experience_growth,generation,height_m,hp,image,is_legendary,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg
"['Snow Warning', 'Soundproof']",2,1,1,0.5,1,2,4,2,1,0.5,0.5,1,1,2,1,2,2,0.5,132,5120,70,594,60,Frosted Tree Pokémon,105,1250000,4,2.2,90,images/abomasnow.png,0,Yukinoohユキノオー,Abomasnow,50,460,132,105,30,grass,ice,135.5
"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,20,5120,70,310,200,Psi Pokémon,15,1059860,1,0.9,25,images/abra.png,0,Caseyケーシィ,Abra,75.4,63,105,55,90,psychic,,19.5
"['Pressure', 'Super Luck', 'Justified']",2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,150,6400,35,565,30,Disaster Pokémon,60,1059860,3,1.2,65,images/absol.png,0,Absolアブソル,Absol,50,359,115,60,115,dark,,47.0
"['Hydration', 'Sticky Hold', 'Unburden']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,70,3840,70,495,75,Shell Out Pokémon,40,1000000,5,0.8,80,images/accelgor.png,0,Agilderアギルダー,Accelgor,50,617,100,60,145,bug,,25.3
['Stance Change'],0.25,2,0.5,1,0.5,0,2,0.5,2,0.5,2,0.5,0,0,0.5,0.5,0.5,1,150,5120,70,520,45,Royal Sword Pokémon,50,1000000,6,1.7,60,images/aegislash-blade.png,0,Gillgardギルガルド,Aegislash,50,681,150,50,60,steel,ghost,53.0
"['Rock Head', 'Pressure', 'Unnerve']",0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,135,8960,70,615,45,Fossil Pokémon,85,1250000,1,1.8,80,images/aerodactyl.png,0,Pteraプテラ,Aerodactyl,88.1,142,70,95,150,rock,flying,59.0
"['Sturdy', 'Rock Head', 'Heavy Metal']",0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,140,8960,35,630,45,Iron Armor Pokémon,230,1250000,3,2.1,70,images/aggron.png,0,Bossgodoraボスゴドラ,Aggron,50,306,60,80,50,steel,rock,360.0
"['Run Away', 'Pickup', 'Skill Link']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,5120,70,360,45,Long Tail Pokémon,55,800000,2,0.8,55,images/aipom.png,0,Eipamエイパム,Aipom,50,190,40,55,85,normal,,11.5
"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5120,70,600,50,Psi Pokémon,65,1059860,1,1.5,55,images/alakazam.png,0,Foodinフーディン,Alakazam,75.4,65,175,105,150,psychic,,48.0
"['Healer', 'Hydration', 'Regenerator']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,10240,70,470,75,Caring Pokémon,80,800000,5,1.2,165,images/alomomola.png,0,Mamanbouママンボウ,Alomomola,50,594,40,45,65,water,,31.6
"['Natural Cure', 'Cloud Nine']",0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,110,5120,70,590,45,Humming Pokémon,110,600000,3,1.1,75,images/altaria.png,0,Tyltalisチルタリス,Altaria,50,334,110,105,80,dragon,flying,20.6
